station_code,station_name,line,interchange_group
CC24,Kent Ridge,CCL,KENT_RIDGE
CC25,Haw Par Villa,CCL,HAW_PAR_VILLA
CC26,Pasir Panjang,CCL,PASIR_PANJANG
CC27,Labrador Park,CCL,LABRADOR_PARK
CC28,Telok Blangah,CCL,TELOK_BLANGAH
CC30,Keppel,CCL,KEPPEL
CC31,Cantonment,CCL,CANTONMENT
CC32,Prince Edward Road,CCL,PRINCE_EDWARD_ROAD
CC34,Bayfront,CCL,BAYFRONT
DT16,Bayfront,DTL,BAYFRONT
BP6,Bukit Panjang,BPLRT,BUKIT_PANJANG
DT1,Bukit Panjang,DTL,BUKIT_PANJANG
DT2,Cashew,DTL,CASHEW
DT3,Hillview,DTL,HILLVIEW
DT4,Hume,DTL,HUME
DT5,Beauty World,DTL,BEAUTY_WORLD
DT6,King Albert Park,DTL,KING_ALBERT_PARK
DT7,Sixth Avenue,DTL,SIXTH_AVENUE
DT8,Tan Kah Kee,DTL,TAN_KAH_KEE
DT13,Rochor,DTL,ROCHOR
DT17,Downtown,DTL,DOWNTOWN
DT18,Telok Ayer,DTL,TELOK_AYER
DT20,Fort Canning,DTL,FORT_CANNING
DT21,Bencoolen,DTL,BENCOOLEN
DT22,Jalan Besar,DTL,JALAN_BESAR
DT23,Bendemeer,DTL,BENDEMEER
DT24,Geylang Bahru,DTL,GEYLANG_BAHRU
DT25,Mattar,DTL,MATTAR
DT27,Ubi,DTL,UBI
DT28,Kaki Bukit,DTL,KAKI_BUKIT
DT29,Bedok North,DTL,BEDOK_NORTH
DT30,Bedok Reservoir,DTL,BEDOK_RESERVOIR
DT31,Tampines West,DTL,TAMPINES_WEST
DT33,Tampines East,DTL,TAMPINES_EAST
DT34,Upper Changi,DTL,UPPER_CHANGI
TE1,Woodlands North,TEL,WOODLANDS_NORTH
TE3,Woodlands South,TEL,WOODLANDS_SOUTH
TE4,Springleaf,TEL,SPRINGLEAF
TE5,Lentor,TEL,LENTOR
TE6,Mayflower,TEL,MAYFLOWER
TE7,Bright Hill,TEL,BRIGHT_HILL
TE8,Upper Thomson,TEL,UPPER_THOMSON
TE11,Stevens,TEL,STEVENS
DT10,Stevens,DTL,STEVENS
TE12,Napier,TEL,NAPIER
TE13,Orchard Boulevard,TEL,ORCHARD_BOULEVARD
TE15,Great World,TEL,GREAT_WORLD
TE16,Havelock,TEL,HAVELOCK
TE18,Maxwell,TEL,MAXWELL
TE19,Shenton Way,TEL,SHENTON_WAY
TE22,Gardens by the Bay,TEL,GARDENS_BY_THE_BAY
TE23,Tanjong Rhu,TEL,TANJONG_RHU
TE24,Katong Park,TEL,KATONG_PARK
TE25,Tanjong Katong,TEL,TANJONG_KATONG
TE26,Marine Parade,TEL,MARINE_PARADE
TE27,Marine Terrace,TEL,MARINE_TERRACE
TE28,Siglap,TEL,SIGLAP
TE29,Bayshore,TEL,BAYSHORE
BP2,South View,BPLRT,SOUTH_VIEW
BP3,Keat Hong,BPLRT,KEAT_HONG
BP4,Teck Whye,BPLRT,TECK_WHYE
BP5,Phoenix,BPLRT,PHOENIX
BP7,Petir,BPLRT,PETIR
BP8,Pending,BPLRT,PENDING
BP9,Bangkit,BPLRT,BANGKIT
BP10,Fajar,BPLRT,FAJAR
BP11,Segar,BPLRT,SEGAR
BP12,Jelapang,BPLRT,JELAPANG
BP13,Senja,BPLRT,SENJA
SE1,Compassvale,SKLRT,COMPASSVALE
SE2,Rumbia,SKLRT,RUMBIA
SE3,Bakau,SKLRT,BAKAU
SE4,Kangkar,SKLRT,KANGKAR
SE5,Ranggung,SKLRT,RANGGUNG
SW1,Cheng Lim,SKLRT,CHENG_LIM
SW2,Farmway,SKLRT,FARMWAY
SW3,Kupang,SKLRT,KUPANG
SW4,Thanggam,SKLRT,THANGGAM
SW5,Fernvale,SKLRT,FERNVALE
SW6,Layar,SKLRT,LAYAR
SW7,Tongkang,SKLRT,TONGKANG
SW8,Renjong,SKLRT,RENJONG
PE1,Cove,PGLRT,COVE
PE2,Meridian,PGLRT,MERIDIAN
PE3,Coral Edge,PGLRT,CORAL_EDGE
PE4,Riviera,PGLRT,RIVIERA
PE5,Kadaloor,PGLRT,KADALOOR
PE6,Oasis,PGLRT,OASIS
PE7,Damai,PGLRT,DAMAI
PW1,Sam Kee,PGLRT,SAM_KEE
PW2,Teck Lee,PGLRT,TECK_LEE
PW3,Punggol Point,PGLRT,PUNGGOL_POINT
PW4,Samudera,PGLRT,SAMUDERA
PW5,Nibong,PGLRT,NIBONG
PW6,Sumang,PGLRT,SUMANG
PW7,Soo Teck,PGLRT,SOO_TECK
